function,section_guess,used_in_files
add_instrument_to_teacher,teachers,src/teacher_manager.py
add_session,sessions,src/session_manager.py
class_exists,classes,src/class_manager.py
count_attendance,attendance,src/attendance_window.py
count_attendance_by_term,terms,src/attendance_window.py
count_attendance_for_term,terms,src/pay_manager.py
count_present_attendance_for_term,terms,src/attendance_window.py
create_class,classes,src/class_manager.py
create_pricing_profile,profiles,src/pricing_profile_manager.py
create_tables,misc,src/app_init.py
delete_attendance,attendance,src/attendance_window.py
delete_class_by_id,classes,src/class_manager.py
delete_future_sessions,sessions,src/attendance_window.py
delete_session,sessions,src/session_manager.py
delete_sessions_for_expired_terms,terms,src/attendance_window.py;src/session_manager.py
delete_sessions_for_term,terms,src/session_manager.py
delete_student_by_id,students,src/student_manager.py
delete_teacher_by_id,teachers,src/teacher_manager.py
delete_term_if_no_payments,terms,src/session_manager.py
does_teacher_have_time_conflict,teachers,src/class_manager.py
ensure_bool_setting,settings,src/app_init.py
fetch_all_contacts,misc,src/contacts_window.py
fetch_attendance_by_date,attendance,src/attendance_window.py
fetch_classes,classes,src/attendance_report_window.py;src/class_manager.py;src/financial_report_window.py;src/pay_manager.py;src/student_term_summary_window.py
fetch_classes_for_student,students,src/session_manager.py
fetch_classes_on_weekday,classes,src/attendance_window.py
fetch_registered_classes_for_student,students,src/pay_manager.py
fetch_sessions_by_class,classes,src/session_manager.py
fetch_students,students,src/sms_notification_window.py;src/student_manager.py
fetch_students_sessions_for_class_on_date,students,src/attendance_window.py
fetch_students_with_teachers,students,src/pay_manager.py;src/session_manager.py
fetch_teachers,teachers,src/teacher_manager.py
fetch_teachers_simple,teachers,src/student_term_summary_window.py;src/teacher_summary_window.py
fetch_teachers_with_instruments,teachers,src/class_manager.py
get_all_student_terms_with_financials,students,src/financial_report_window.py
get_attendance_report_rows,attendance,src/attendance_report_window.py
get_class_and_teacher_name,teachers,src/attendance_window.py
get_class_by_id,classes,src/class_manager.py
get_connection,misc,src/app_init.py;src/change_password_window.py;src/dashboard_window.py;src/login_window.py;src/pricing_profile_manager.py
get_day_and_time_for_class,classes,src/session_manager.py
get_finished_terms_with_future_sessions,terms,src/session_manager.py
get_instruments_for_teacher,teachers,src/class_manager.py;src/teacher_manager.py
get_last_term_end_date,terms,src/session_manager.py
get_payment_by_id,payments,src/pay_manager.py
get_session_by_id,sessions,src/session_manager.py
get_session_count_per_class,classes,src/session_manager.py
get_session_count_per_student,students,src/session_manager.py
get_setting,settings,src/attendance_window.py;src/pay_manager.py;src/pricing_profile_manager.py;src/session_manager.py;src/settings_window.py;src/utils.py
get_setting_bool,settings,src/settings_window.py;src/sms_notifier.py
get_student_by_id,students,src/student_manager.py
get_student_contact,students,src/attendance_window.py;src/sms_notification_window.py
get_student_term,students,src/attendance_window.py
get_student_term_summary_rows,students,src/student_term_summary_window.py
get_teacher_by_id,teachers,src/teacher_manager.py
get_teacher_id_by_national_code,teachers,src/teacher_manager.py
get_teacher_summary_rows,teachers,src/teacher_summary_window.py
get_term_config,terms,src/attendance_window.py
get_term_dates,terms,src/attendance_window.py
get_term_id_by_student_and_class,students,src/pay_manager.py
get_term_sessions_limit_by_id,terms,src/pay_manager.py
get_term_tuition_by_id,terms,src/pay_manager.py
get_terms_for_payment_management,terms,src/pay_manager.py
get_total_paid_for_term,terms,src/pay_manager.py
get_unnotified_expired_terms,terms,src/session_manager.py
has_renew_sms_been_sent,notifications,src/attendance_window.py
has_teacher_weekly_time_conflict,teachers,src/session_manager.py
has_weekly_time_conflict,misc,src/session_manager.py
insert_attendance_with_date,attendance,src/attendance_window.py
insert_payment,payments,src/pay_manager.py
insert_student,students,src/student_manager.py
insert_student_term_if_not_exists,students,src/session_manager.py
insert_teacher,teachers,src/teacher_manager.py
is_class_has_sessions,classes,src/class_manager.py
is_class_slot_taken,classes,src/session_manager.py
is_national_code_exists,misc,src/teacher_manager.py
is_national_code_exists_for_other,misc,src/student_manager.py;src/teacher_manager.py
is_teacher_assigned_to_students,students,src/teacher_manager.py
list_pricing_profiles,profiles,src/pricing_profile_manager.py;src/session_manager.py
mark_renew_sms_sent,notifications,src/attendance_window.py
mark_terms_as_notified,terms,src/session_manager.py
recalc_term_end_by_id,terms,src/attendance_window.py
remove_instrument_from_teacher,teachers,src/teacher_manager.py
set_setting,settings,src/settings_window.py
set_setting_bool,settings,src/settings_window.py
student_national_code_exists,students,src/student_manager.py
update_class_by_id,classes,src/class_manager.py
update_payment_by_id,payments,src/pay_manager.py
update_session,sessions,src/session_manager.py
update_student_by_id,students,src/student_manager.py
update_teacher_by_id,teachers,src/teacher_manager.py
